id,user_id,parent_plan_input_id,input_source,title,description,category,planned_start,planned_duration_minutes,deadline_at,importance,difficulty,required_energy,required_focus,current_energy,current_focus,sleep_hours,stress_level,tasks_before_count,planned_minutes_before,daily_planned_minutes,minutes_since_previous,timezone_name,is_fixed_time,created_at
fc76225c-c371-58d9-8368-c9b78a5af154,8810bba3-fe6f-5164-97ea-28fc1a5d3ce6,,user,Synthetic study task 1,Synthetic training example; not observed human data.,study,2025-01-01T11:00:00+00:00,60,2025-01-01T18:00:00+00:00,5,4,2,5,,,,,0,0,197,,Europe/London,True,2024-12-31T12:00:00+00:00
ae8ccea0-dc8e-5d60-811f-1679d7592a10,581ed008-7258-549b-ba24-c77ff274c4ea,,user,Synthetic work task 2,Synthetic training example; not observed human data.,social,2025-01-01T20:00:00+00:00,60,2025-01-02T05:00:00+00:00,3,3,1,1,1.0,4.0,7.35,4.0,3,138,345,79.0,Asia/Seoul,False,2024-12-30T14:00:00+00:00
2b2bd489-7caa-59e0-bbe0-83cc8cee9f16,14e46070-429e-5480-b565-72b274ed96c5,,user,Synthetic health task 3,Synthetic training example; not observed human data.,chores,2025-01-02T03:00:00+00:00,45,2025-01-02T09:00:00+00:00,5,1,3,1,4.0,1.0,7.98,4.0,2,106,226,87.0,America/Denver,False,2024-12-31T03:00:00+00:00
52778d95-9566-5665-8acd-7aed7cd8d20c,be58bfdf-03f4-5c3b-8db5-ad0d70fbb873,,user,Synthetic chores task 4,Synthetic training example; not observed human data.,health,2025-01-02T13:00:00+00:00,30,2025-01-02T18:00:00+00:00,3,4,2,4,4.0,2.0,8.13,3.0,7,217,475,106.0,Europe/London,True,2025-01-01T21:00:00+00:00
721ac184-76df-52bd-b499-d23d9455a1ce,52077bac-eeba-5ecc-aeff-51ad3edf080b,,user,Synthetic creative task 5,Synthetic training example; not observed human data.,work,2025-01-02T20:00:00+00:00,30,2025-01-03T04:00:00+00:00,1,1,5,3,2.0,2.0,6.5,3.0,7,308,342,11.0,Asia/Seoul,False,2024-12-31T02:00:00+00:00
9b0ae39e-8b15-5b2d-b479-9b9f1e6ea61c,e02d4f01-1842-5a6a-a67c-42e207144343,,user,Synthetic social task 6,Synthetic training example; not observed human data.,chores,2025-01-03T06:00:00+00:00,20,2025-01-03T14:00:00+00:00,3,4,1,1,5.0,1.0,7.6,2.0,5,140,395,18.0,America/Denver,False,2024-12-31T22:00:00+00:00
a950ce68-c953-5059-97da-f7ec67d45347,88c95f3e-e77d-580c-94db-aae0db1b55d7,,user,Synthetic study task 7,Synthetic training example; not observed human data.,health,2025-01-03T17:00:00+00:00,45,2025-01-03T21:00:00+00:00,2,3,3,3,1.0,3.0,6.19,4.0,4,100,162,10.0,Asia/Seoul,True,2025-01-02T22:00:00+00:00
47f97eee-da8d-502e-b46e-133d4b56c9c0,de048897-3bb6-56d1-a408-b1afaa49290e,,user,Synthetic work task 8,Synthetic training example; not observed human data.,health,2025-01-04T00:00:00+00:00,120,2025-01-04T07:00:00+00:00,2,4,4,5,4.0,4.0,7.28,1.0,2,128,329,99.0,Asia/Seoul,False,2025-01-02T20:00:00+00:00
87a90599-4bb2-5173-a0da-65d4fe5b5995,0bc5c71e-e6d5-5fed-8e0d-571f85685b5f,,user,Synthetic health task 9,Synthetic training example; not observed human data.,chores,2025-01-04T11:00:00+00:00,120,2025-01-04T13:00:00+00:00,3,5,5,4,3.0,3.0,9.15,5.0,4,228,373,21.0,America/Denver,False,2025-01-04T08:00:00+00:00
7cc9775f-ff27-55b6-a515-27afc23d46d8,88dcec12-9cb8-559e-93d3-cbb51dd78fbf,,user,Synthetic chores task 10,Synthetic training example; not observed human data.,health,2025-01-04T17:00:00+00:00,120,2025-01-04T19:00:00+00:00,5,4,1,2,5.0,1.0,6.87,1.0,3,144,489,34.0,America/Denver,True,2025-01-04T02:00:00+00:00
12a479a3-1b2d-5af6-8a16-97e2094e12a3,3ec27e4b-f5ed-59be-a1cb-116d3513f950,,user,Synthetic creative task 11,Synthetic training example; not observed human data.,study,2025-01-05T04:00:00+00:00,45,2025-01-05T13:00:00+00:00,1,1,4,5,1.0,1.0,5.86,5.0,5,345,557,18.0,Europe/London,False,2025-01-02T17:00:00+00:00
260f5779-f782-5ea1-981c-9c93556df97d,ee227133-fc5b-54ac-b693-f80a5f3b46b2,,user,Synthetic social task 12,Synthetic training example; not observed human data.,chores,2025-01-05T11:00:00+00:00,45,2025-01-05T19:00:00+00:00,2,3,1,4,5.0,2.0,7.56,5.0,3,78,226,32.0,Europe/London,False,2025-01-03T21:00:00+00:00
1f5aff25-b221-54ea-968d-958a0050dfce,5547a1d0-f5a8-5c88-ac0a-936053d79379,,user,Synthetic study task 13,Synthetic training example; not observed human data.,social,2025-01-05T22:00:00+00:00,60,2025-01-06T05:00:00+00:00,4,4,4,4,4.0,5.0,5.85,1.0,1,20,217,5.0,America/Denver,True,2025-01-05T05:00:00+00:00
332ae226-bc01-5fe3-ac6d-60dae3b10fef,bb7fcb4f-13b1-5608-996a-3427e85e1a8d,,user,Synthetic work task 14,Synthetic training example; not observed human data.,social,2025-01-06T05:00:00+00:00,60,2025-01-06T10:00:00+00:00,2,1,3,1,1.0,4.0,10.0,2.0,5,240,377,30.0,America/New_York,False,2025-01-04T07:00:00+00:00
c0b9bcc5-3f1e-5e93-9038-705f7b89843f,a341c037-5f9f-5554-a6dc-4bf19b643bd8,,user,Synthetic health task 15,Synthetic training example; not observed human data.,study,2025-01-06T15:00:00+00:00,20,2025-01-06T23:00:00+00:00,5,3,1,5,4.0,2.0,6.11,1.0,5,295,399,17.0,Asia/Seoul,False,2025-01-06T12:00:00+00:00
da2655c0-7136-5109-989e-97e1af8bca83,a65d7356-32ab-57a6-bb05-e99b25a4f227,,user,Synthetic chores task 16,Synthetic training example; not observed human data.,chores,2025-01-07T00:00:00+00:00,60,2025-01-07T05:00:00+00:00,1,2,3,1,1.0,5.0,6.26,1.0,6,228,352,113.0,Europe/London,True,2025-01-05T22:00:00+00:00
